"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU2640","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU2641","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia membranifaciens"
"OTU2642","Protista",NA,NA,NA,NA,NA,NA
"OTU2643","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU2644","Viridiplantae","Chlorophyta","Prasinophyceae","Chlorodendrales",NA,NA,NA
"OTU2645","Protista",NA,NA,NA,NA,NA,NA
"OTU2646","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2647","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2648","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2650","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2651","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2652","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2653","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum",NA
"OTU2654","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"OTU2655","Protista",NA,NA,NA,NA,NA,NA
"OTU2656","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Bovista",NA
"OTU2657","Viridiplantae","Anthophyta","Eudicotyledonae","Solanales","Solanaceae","Solanum",NA
"OTU2658","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Puccinia","Puccinia cesatii"
"OTU2659","Ichthyosporia","Ichthyosporea","Dermocystida",NA,NA,NA,NA
"OTU2660","Fungi","Kickxellomycota","Kickxellomycetes","Kickxellales","Kickxellaceae","Ramicandelaber",NA
"OTU2661","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU2662","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU2663","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2664","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia terricola"
"OTU2665","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"OTU2667","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU2668","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU2669","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Leucoagaricus","Leucoagaricus leucothites"
"OTU2670","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU2671","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2673","Fungi","Basidiomycota","Tremellomycetes",NA,NA,NA,NA
"OTU2674","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia hanoiensis"
"OTU2676","Fungi","Chytridiomycota","Lobulomycetes","Lobulomycetales",NA,NA,NA
"OTU2677","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"OTU2678","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2680","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"OTU2681","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales","Catenariaceae",NA,NA
"OTU2682","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2683","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Entrophospora",NA,NA
"OTU2684","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"OTU2685","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces flavus"
"OTU2686","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU2687","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU2688","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU2690","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU2691","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2692","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2693","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU2694","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Neurospora",NA
"OTU2696","Fungi","Mucoromycota","Endogonomycetes","Endogonales",NA,NA,NA
"OTU2697","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU2698","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae",NA,NA
"OTU2699","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU2700","Fungi",NA,NA,NA,NA,NA,NA
"OTU2701","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU2703","Fungi","Basidiomycota","Agaricomycetes","Thelephorales",NA,NA,NA
"OTU2704","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces columbinus"
"OTU2705","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales",NA,NA,NA
"OTU2706","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor hiemalis"
"OTU2708","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae",NA,NA
"OTU2709","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Saturnispora","Saturnispora diversa"
"OTU2710","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU2711","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU2712","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU2714","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Leucoagaricus","Leucoagaricus barssii"
"OTU2715","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Plenodomus","Plenodomus biglobosus"
"OTU2716","Metazoa","Porifera","Calcarea","Clathrinida",NA,NA,NA
"OTU2717","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Lamprospora",NA
"OTU2718","Fungi",NA,NA,NA,NA,NA,NA
"OTU2719","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum",NA
"OTU2720","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2721","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2722","Viridiplantae","Anthophyta","Monocotyledonae","Poales","Poaceae","Poa","Poa annua"
"OTU2723","Fungi","Mucoromycota","Endogonomycetes","Endogonales",NA,NA,NA
"OTU2724","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2725","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU2726","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2727","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU2729","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia byssoides"
"OTU2730","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales",NA,NA,NA
"OTU2731","Fungi",NA,NA,NA,NA,NA,NA
"OTU2732","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Leucosphaerina",NA,NA
"OTU2733","Fungi","Ascomycota","Neolectomycetes","Neolectales",NA,NA,NA
"OTU2734","Fungi","Calcarisporiellomycota","Calcarisporiellomycetes","Calcarisporiellales","Calcarisporiellaceae","Calcarisporiella",NA
"OTU2735","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU2736","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2737","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium","Scedosporium prolificans"
"OTU2738","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"OTU2739","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2740","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU2741","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU2742","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales",NA,NA,NA
"OTU2743","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU2744","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor piriformis"
"OTU2745","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys","Arthrobotrys scaphoides"
"OTU2746","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU2747","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2748","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2749","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU2750","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces diversiformis"
"OTU2751","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2752","Stramenopila","Oomycota","Oomycetes","Peronosporales",NA,NA,NA
"OTU2753","Fungi","Ascomycota","Eurotiomycetes","Onygenales",NA,NA,NA
"OTU2754","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2755","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","Pisolithus arhizus"
"OTU2756","Fungi","Glomeromycota",NA,NA,NA,NA,NA
"OTU2757","Fungi",NA,NA,NA,NA,NA,NA
"OTU2758","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU2759","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU2760","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2761","Protista",NA,NA,NA,NA,NA,NA
"OTU2762","Fungi","Basidiomycota","Agaricomycetes","Cantharellales",NA,NA,NA
"OTU2763","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2764","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU2765","Fungi","Mucoromycota","Endogonomycetes","Endogonales",NA,NA,NA
"OTU2767","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU2768","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2769","Stramenopila","Oomycota","Oomycetes","Pythiales",NA,NA,NA
"OTU2770","Fungi",NA,NA,NA,NA,NA,NA
"OTU2771","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Torulaspora","Torulaspora pretoriensis"
"OTU2772","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales",NA,NA,NA
"OTU2773","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU2776","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU2777","Fungi","Glomeromycota",NA,NA,NA,NA,NA
"OTU2778","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2779","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales",NA,NA,NA
"OTU2780","Viridiplantae","Anthophyta","Monocotyledonae","Poales","Poaceae","Echinochloa","Echinochloa colona"
"OTU2781","Rhodoplantae","Rhodophyta","Florideophyceae","Corallinales",NA,NA,NA
"OTU2783","Fungi","Kickxellomycota","Kickxellomycetes","Kickxellales",NA,NA,NA
"OTU2784","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2785","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2786","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae",NA,NA
"OTU2787","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2788","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2789","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Trichomonascus","Trichomonascus ciferrii"
"OTU2790","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Malbranchea","Malbranchea gypsea",NA
"OTU2791","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae",NA,NA
"OTU2792","Stramenopila","Oomycota","Oomycetes","Peronosporales",NA,NA,NA
"OTU2793","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU2794","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales",NA,NA,NA
"OTU2795","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2796","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"OTU2798","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU2799","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2800","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2801","Fungi","Aphelidiomycota","Aphelidiomycetes",NA,NA,NA,NA
"OTU2802","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales",NA,NA,NA
"OTU2803","Fungi","Ascomycota","Lecanoromycetes",NA,NA,NA,NA
"OTU2804","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus",NA
"OTU2805","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2806","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU2807","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"OTU2808","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2809","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU2810","Fungi",NA,NA,NA,NA,NA,NA
"OTU2812","Fungi",NA,NA,NA,NA,NA,NA
"OTU2813","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU2814","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Vermispora",NA,NA
"OTU2815","Fungi","Olpidiomycota",NA,NA,NA,NA,NA
"OTU2816","Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophoraceae","Pyxidiophora","Pyxidiophora arvernensis"
"OTU2817","Fungi","Entorrhizomycota","Entorrhizomycetes","Talbotiomycetales","Talbotiomycetaceae","Talbotiomyces","Talbotiomyces calosporus"
"OTU2818","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"OTU2819","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales",NA,NA,NA
"OTU2821","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales",NA,NA,NA
"OTU2822","Fungi","Glomeromycota",NA,NA,NA,NA,NA
"OTU2823","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU2824","Viridiplantae","Anthophyta","Monocotyledonae","Poales","Poaceae","Muhlenbergia","Muhlenbergia purpusii"
"OTU2825","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2826","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis"
"OTU2827","Protista",NA,NA,NA,NA,NA,NA
"OTU2828","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2829","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU2830","Fungi","Kickxellomycota","Kickxellomycetes","Kickxellales",NA,NA,NA
"OTU2831","Fungi",NA,NA,NA,NA,NA,NA
"OTU2832","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2834","Fungi",NA,NA,NA,NA,NA,NA
"OTU2835","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU2836","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2837","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"OTU2838","Fungi","Ascomycota","Sordariomycetes","Xylariales",NA,NA,NA
"OTU2839","Fungi","Basidiomycota","Agaricomycetes","Russulales",NA,NA,NA
"OTU2840","Fungi","Zoopagomycota","Zoopagomycetes","Zoopagales",NA,NA,NA
"OTU2841","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2842","Fungi",NA,NA,NA,NA,NA,NA
"OTU2843","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU2844","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Epibryaceae","Epibryon","Epibryon hepaticicola"
"OTU2845","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2846","Fungi","Basidiomycota","Microbotryomycetes","Microbotryales","Microbotryaceae","Microbotryum","Microbotryum reticulatum"
"OTU2847","Fungi","Monoblepharomycota","Monoblepharidomycetes",NA,NA,NA,NA
"OTU2848","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU2849","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU2850","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae",NA,NA
"OTU2851","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU2852","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales",NA,NA,NA
"OTU2853","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2854","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU2856","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2857","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2858","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2859","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia globosa"
"OTU2860","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2861","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2862","Viridiplantae","Anthophyta","Monocotyledonae","Poales","Poaceae",NA,NA
"OTU2863","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU2864","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2865","Viridiplantae","Anthophyta","Monocotyledonae","Poales","Poaceae","Zea","Zea mays"
"OTU2866","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2868","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU2869","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU2870","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2871","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","Spizellomyces dolichospermus"
"OTU2872","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces pijperi"
"OTU2875","Stramenopila","Oomycota","Oomycetes","Peronosporales",NA,NA,NA
"OTU2876","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU2877","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae",NA,NA
"OTU2878","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2879","Fungi","Basidiomycota","Spiculogloeomycetes","Spiculogloeales",NA,NA,NA
"OTU2880","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Anguillospora","Anguillospora longissima"
"OTU2881","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU2882","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis"
"OTU2883","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2884","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU2885","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Arthroderma","Arthroderma fulvum"
"OTU2886","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2887","Fungi",NA,NA,NA,NA,NA,NA
"OTU2888","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Entrophospora",NA,NA
"OTU2889","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium adametzioides"
"OTU2890","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2892","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales",NA,NA,NA
"OTU2893","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Pyronema","Pyronema domesticum"
"OTU2894","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",NA
"OTU2895","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2896","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraconiothyrium",NA
"OTU2897","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2898","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU2899","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2900","Viridiplantae","Anthophyta","Eudicotyledonae","Fabales","Fabaceae","Cyamopsis",NA
"OTU2901","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU2902","Fungi","Kickxellomycota","Kickxellomycetes","Kickxellales",NA,NA,NA
"OTU2903","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA
"OTU2904","Fungi","Basidiomycota","Microbotryomycetes","Chrysozymaceae","Sampaiozyma",NA,NA
"OTU2905","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2906","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2907","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA
"OTU2908","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Cunninghamella","Cunninghamella blakesleeana"
"OTU2909","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Powellomycetaceae","Powellomyces","Powellomyces hirtus"
"OTU2910","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU2911","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Monosporascus","Monosporascus eutypoides"
"OTU2912","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2913","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU2914","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU2915","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA
"OTU2916","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2917","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU2918","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales",NA,NA,NA
"OTU2919","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2920","Viridiplantae","Chlorophyta",NA,NA,NA,NA,NA
"OTU2921","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2922","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2923","Viridiplantae","Anthophyta","Eudicotyledonae","Solanales","Solanaceae","Solanum",NA
"OTU2924","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2925","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"OTU2926","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus",NA
"OTU2927","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU2928","Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophoraceae","Pyxidiophora","Pyxidiophora arvernensis"
"OTU2929","Metazoa","Cnidaria","Hydrozoa","Hydroidolina",NA,NA,NA
"OTU2931","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU2932","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU2934","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU2935","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2937","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2938","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU2939","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU2940","Viridiplantae","Anthophyta","Eudicotyledonae","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"OTU2941","Viridiplantae","Anthophyta","Eudicotyledonae","Solanales","Solanaceae","Solanum",NA
"OTU2942","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales",NA,NA,NA
"OTU2943","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2944","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU2945","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor megalocarpus"
"OTU2946","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis"
"OTU2947","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA
"OTU2949","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Lipomycetaceae","Lipomyces","Lipomyces tetrasporus"
"OTU2950","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"OTU2951","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU2952","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Polyschema","Polyschema sclerotigenum",NA
"OTU2953","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU2954","Fungi","Basidiomycota","Microbotryomycetes","Leucosporidiales","Leucosporidiaceae","Leucosporidium","Leucosporidium intermedium"
"OTU2956","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU2957","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU2958","Stramenopila","Oomycota","Oomycetes","Peronosporales",NA,NA,NA
"OTU2959","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae",NA,NA
"OTU2960","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
